"","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","Avg 7d","Δ7d","Avg 30d","Δ30d","Rating","μ","σ","Δrat.7d","Rating","μ","φ","Δrat. 7d"
"Team Secret  Team Secret (Secret)","1322.95","1328.84","+0.25","1352.19","-26.55","1409.93","1416.72","+5.75","1471.94","-95.60","1933.76","2161.00","90.89","-119.37","2060.38","2162.71","40.93","-3.44"
"PSG.LGD  PSG.LGD (LGD)","1292.62","1299.79","-14.44","1280.82","+78.64","1426.87","1437.33","-21.06","1406.87","+108.31","1920.09","2127.53","82.98","-39.79","1981.15","2077.67","38.61","-14.40"
"Fnatic  Fnatic (Fnatic)","1225.71","1222.14","-1.13","1219.86","-1.24","1286.24","1277.03","-6.83","1290.90","-36.60","1995.79","2145.66","59.95","+12.47","1927.68","2030.38","41.08","-10.69"
"Vici Gaming  Vici Gaming (VG)","1092.65","1094.92","-4.57","1121.01","-80.99","1095.21","1097.54","-4.70","1140.34","-136.19","1728.23","2091.74","145.40","-59.96","1904.64","2006.13","40.60","-3.48"
"Royal Never Give Up  Royal Never Give Up (RNG)","1071.76","1073.52","-3.54","1099.39","-44.46","1099.71","1102.16","-4.92","1127.30","-14.85","1800.34","2096.52","118.47","-77.73","1888.20","1984.26","38.42","-3.63"
"INVICTUS GAMING  INVICTUS GAMING (iG)","1162.35","1166.33","-8.01","1132.89","+101.63","1272.99","1279.68","-13.47","1227.64","+159.99","1779.57","2074.36","117.91","-78.22","1887.40","1980.32","37.17","-3.79"
"CDEC   CDEC (CDEC)","1079.56","1081.51","-3.93","1121.77","-87.93","1076.82","1078.71","-3.79","1148.41","-147.47","1897.78","2110.81","85.21","+64.80","1861.78","1962.45","40.27","+10.52"
"Evil Geniuses  Evil Geniuses (EG)","1137.56","1087.75","+129.57","1062.62","+20.68","1200.80","1151.02","+197.58","1091.15","+8.53","1699.14","1870.59","68.58","+68.87","1859.37","1966.02","42.66","+13.84"
"Nigma  Nigma (Nigma)","1160.76","1151.90","-35.85","1108.41","+164.66","1243.87","1219.43","-67.80","1178.00","+258.79","1846.07","1967.57","48.60","+10.96","1858.10","1953.01","37.96","+2.19"
"Team Liquid  Team Liquid (Liquid)","1137.95","1127.92","+22.40","1121.43","+74.04","1195.89","1201.58","-8.10","1189.33","+118.46","1844.82","1930.83","34.40","+14.18","1855.88","1946.01","36.05","+11.81"
"EHOME  EHOME (EHOME)","1072.29","1074.06","-3.57","1096.64","-84.53","1063.54","1065.10","-3.14","1108.59","-183.49","1697.38","2055.15","143.11","-61.12","1845.31","1946.33","40.41","-3.56"
"Alliance  Alliance (Alliance)","1041.90","1073.06","-69.17","1117.23","-96.85","1026.10","1051.42","-84.32","1150.30","-167.49","1832.67","1924.44","36.71","-8.96","1843.17","1934.38","36.48","-16.16"
"VP.Prodigy  VP.Prodigy (VP.P)","1099.90","1102.35","-4.93","1147.03","-103.19","1115.56","1118.40","-5.70","1194.87","-200.21","1604.48","1929.53","130.02","-68.81","1838.50","1961.85","49.34","-2.78"
"OG  OG (OG)","1091.50","1081.34","+45.99","1047.99","-72.16","1162.78","1162.71","+80.86","1056.33","-89.46","1780.04","1940.99","64.38","+19.30","1837.06","1935.66","39.44","-1.27"
"BOOM Esports  BOOM Esports (BOOM)","1156.13","1146.89","+19.39","1121.17","+95.44","1224.88","1221.16","+1.61","1191.82","+134.98","1929.02","2064.36","54.14","+28.82","1832.35","1939.46","42.84","+12.39"
"Quincy Crew  Quincy Crew (QCY)","1146.24","1125.31","-2.61","1093.02","+122.19","1218.06","1198.39","-45.28","1160.25","+179.65","1801.72","1992.22","76.20","+36.15","1821.42","1967.17","58.30","+37.98"
"Geek Fam  Geek Fam","1154.27","1126.17","+25.53","1085.81","+137.54","1248.09","1172.91","+78.89","1134.56","+198.34","1933.48","2074.42","56.38","+70.51","1816.17","1917.00","40.33","+31.35"
"Virtus.pro   Virtus.pro (VP)","1070.87","1072.61","-3.50","1079.46","-11.85","1101.31","1103.79","-5.00","1114.40","-20.81","1516.78","1796.43","111.86","-70.47","1813.68","1913.90","40.09","-20.21"
"Team Aster  Team Aster (Aster)","1076.46","1078.34","-3.77","1075.09","+9.06","1146.48","1150.07","-7.23","1139.44","+28.54","1635.84","1910.82","109.99","-59.51","1804.79","1904.87","40.03","-13.71"
"FlyToMoon  FlyToMoon (FTM)","1151.59","1113.42","+49.54","1094.61","+62.52","1256.22","1195.84","+80.55","1159.65","+138.06","1780.73","1965.65","73.97","+99.24","1798.87","1897.18","39.32","+23.95"
"Quincy Crew  Quincy Crew","1087.12","1089.26","-4.30","1096.78","-19.97","1105.37","1107.95","-5.20","1117.05","-24.16","1371.21","1929.77","223.42","-37.03","1791.47","1981.26","75.91","-1.80"
"Adroit  Adroit (Adroit)","1013.13","1052.78","-51.90","1066.42","-39.90","976.37","1069.35","-113.99","1090.58","-64.29","1775.88","1929.08","61.28","-58.07","1779.89","1883.63","41.50","-25.07"
"CR4ZY  CR4ZY (CR4ZY)","1027.79","1049.35","-44.90","1078.89","-29.85","1028.38","1029.00","-28.09","1086.75","-39.43","1644.29","1808.58","65.72","-50.87","1764.68","1885.36","48.27","-26.18"
"TNC Predator  TNC Predator (TNC)","1057.45","1029.14","+65.00","999.13","-2.91","1132.52","1081.41","+104.78","1027.08","+8.08","1745.57","1904.38","63.52","+84.45","1764.28","1867.18","41.16","+10.10"
"Ninjas in Pyjamas  Ninjas in Pyjamas (NiP)","999.07","1026.59","-33.84","1056.16","-54.65","982.23","1037.14","-55.74","1082.39","-139.65","1606.47","1780.62","69.66","-3.69","1747.08","1845.61","39.41","-10.80"
